"inn_clean","ema_ma_date","orphan_flag"
"insulin glargine",2000-06-09,"No"
"insulin glargine;lixisenatide",2017-01-11,"No"
"insulin glulisine",2004-09-27,"No"
"insulin human",1997-02-21,"No"
"insulin human (rdna)",2002-10-07,"No"
"insulin icodec",2024-05-17,"No"
"insulin icodec;semaglutide",2025-11-24,"No"
"insulin lispro",1996-04-30,"No"
"interferon beta-1a",1997-03-13,"No"
"interferon beta-1b",1995-11-30,"No"
"ioflupane (123i)",2021-06-17,"No"
"ioflupane (123l)",2000-07-27,"No"
"ipilimumab",2011-07-13,"No"
"iptacopan",2024-05-17,"Yes"
"irbesartan",1997-08-26,"No"
"irbesartan;hydrochlorothiazide",1998-10-14,"No"
"irinotecan hydrochloride trihydrate",2016-10-14,"Yes"
"isatuximab",2020-05-30,"No"
"isavuconazole",2015-10-15,"Yes"
"ivabradine",2005-10-25,"No"
"ivacaftor",2012-07-23,"No"
"ivacaftor;tezacaftor;elexacaftor",2020-08-21,"Yes"
"ivosidenib",2023-05-04,"Yes"
"ixazomib",2016-11-21,"Yes"
"ixekizumab",2016-04-25,"No"
"japanese encephalitis vaccine (inactivated, adsorbed)",2009-03-31,"No"
"ketoconazole",2014-11-18,"No"
"l-acetylleucine",2026-01-19,"Yes"
"lacosamide",2008-08-29,"No"
"lamivudine",1996-08-08,"No"
"lamivudine;zidovudine",1998-03-18,"No"
"lanadelumab",2018-11-22,"Yes"
"lapatinib",2008-06-10,"No"
"laronidase",2003-06-09,"No"
"larotrectinib",2019-09-19,"No"
"lasmiditan",2022-08-17,"No"
"latanoprost",2023-11-15,"No"
"latanoprost / netarsudil",2021-01-07,"No"
"lazertinib",2025-01-20,"No"
"lebrikizumab",2023-11-16,"No"
"lecanemab",2025-04-15,"No"
"ledispavir;sofosbuvir",2014-11-17,"No"
"lefamulin",2020-07-27,"No"
"leflunomide",1999-09-02,"No"
"lenacapavir",2022-08-17,"No"
"lenalidomide",2007-06-14,"No"
"leniolisib",2026-05-21,"Yes"
"lenvatinib",2015-05-28,"No"
"letermovir",2018-01-08,"Yes"
"leuprorelin",2022-05-24,"No"
"levetiracetam",2000-09-29,"No"
"levodopa",2019-09-19,"No"
"levodopa;carbidopa",2026-04-27,"No"
"levodopa;carbidopa;entacapone",2003-10-17,"No"
"levofloxacin",2015-03-25,"No"
"lidocaine;prilocaine",2013-11-15,"No"
"linaclotide",2012-11-26,"No"
"linagliptin",2011-08-23,"No"
"linagliptin;metformin hydrochloride",2012-07-19,"No"
"linvoseltamab",2025-04-23,"No"
"linzagolix choline",2022-06-14,"No"
"lipegfilgrastim",2013-07-25,"No"
"liraglutide",2009-06-30,"No"
"lisocabtagene maraleucel",2022-04-04,"No"
"lomitapide",2013-07-31,"No"
"lonafarnib",2022-07-18,"Yes"
"lonapegsomatropin",2022-01-11,"Yes"
"loncastuximab tesirine",2022-12-20,"No"
"lonoctocog alfa",2017-01-04,"No"
"lopinavir;ritonavir",2001-03-19,"No"
"lorlatinib",2019-05-06,"No"
"loxapine",2013-02-20,"No"
"lumacaftor;ivacaftor",2015-11-19,"No"
"lumasiran",2020-11-19,"Yes"
"lurasidone",2014-03-21,"No"
"lurbinectedin",2026-05-29,"Yes"
"luspatercept",2020-06-25,"Yes"
"lutetium (177lu) chloride",2016-07-06,"No"
"lutetium (177lu) oxodotreotide",2017-09-26,"Yes"
"lutetium (177lu) vipivotide tetraxetan",2022-12-09,"No"
"lutropin alfa",2000-11-29,"No"
"macimorelin",2019-01-11,"No"
"macitentan",2013-12-20,"No"
"macitentan;tadalafil",2024-09-27,"No"
"mannitol",2012-04-13,"No"
"maralixibat chloride",2022-12-09,"Yes"
"maraviroc",2007-09-18,"No"
"maribavir",2022-11-09,"Yes"
"marstacimab",2024-11-18,"No"
"mavacamten",2023-06-26,"No"
"mavorixafor",2026-04-27,"Yes"
"measles, mumps and rubella vaccine (live)",2006-05-05,"No"
"measles, mumps, rubella and varicella vaccine (live)",2006-04-05,"No"
"mecasermin",2007-08-02,"No"
"melatonin",2007-06-29,"No"
"melphalan",2020-11-16,"No"
"melphalan flufenamide",2022-08-17,"No"
"memantine",2002-05-15,"No"
"memantine hydrochloride",2012-11-22,"No"
"meningococcal group a, c, w-135 and y conjugate vaccine",2010-03-15,"No"
"meningococcal group b vaccine (rdna, component, adsorbed)",2013-01-13,"No"
"meningococcal group b vaccine (recombinant, adsorbed)",2017-05-24,"No"
"meningococcal groups a, c, w-135 and y conjugate vaccine",2012-04-20,"No"
"mepolizumab",2015-12-01,"No"
"mercaptamine",2013-09-05,"No"
"mercaptamine bitartrate",1997-06-23,"No"
"mercaptopurine",2012-03-09,"No"
"meropenem;vaborbactam",2018-11-20,"No"
"methotrexate",2016-08-18,"No"
"methoxy polyethylene glycol-epoetin beta",2007-07-20,"No"
"methylnaltrexone bromide",2008-07-01,"No"
"methylphenidate hydrochloride",2025-02-28,"No"
"methylthioninium chloride",2011-05-06,"No"
"metreleptin",2018-07-30,"Yes"
"mexiletine",2018-12-18,"Yes"
"micafungin",2008-04-25,"No"
"midazolam",2011-09-04,"No"
"midostaurin",2017-09-18,"Yes"
"mifamurtide",2009-03-06,"No"
"migalastat",2016-05-25,"No"
"miglustat",2002-11-20,"No"
"mirabegron",2012-12-20,"No"
"mirdametinib",2025-07-17,"Yes"
"mirikizumab",2023-05-26,"No"
"mirvetuximab soravtansine",2024-11-14,"Yes"
"mitapivat",2022-11-09,"Yes"
"mitotane",2004-04-28,"No"
"mogamulizumab",2018-11-22,"Yes"
"momelotinib",2024-01-25,"Yes"
"moroctocog alfa",1999-04-13,"No"
"mosunetuzumab",2022-06-03,"Yes"
"mycobacterium tuberculosis derived antigens (rdesat-6 / rcfp-10)",2025-01-13,"No"
"mycophenolate mofetil",1996-02-14,"No"
"nadofaragene firadenovec",2026-05-28,"No"
"naldemedine",2019-02-18,"No"
"nalmefene",2013-02-24,"No"
"naloxegol",2014-12-07,"No"
"naloxone",2017-11-09,"No"
"naltrexone;bupropion",2015-03-26,"No"
"natalizumab",2006-06-27,"No"
"nelarabine",2007-08-22,"No"
"nemolizumab",2025-02-12,"No"
"nepafenac",2007-12-11,"No"
"neratinib",2018-08-31,"No"
"netarsudil",2019-11-19,"No"
"netupitant;palonosetron",2015-05-27,"No"
"nevirapine",1998-02-04,"No"
"nilotinib",2007-11-19,"No"
"nintedanib",2014-11-21,"No"
"nipocalimab",2025-11-28,"No"
"niraparib",2017-11-16,"Yes"
"niraparib;abiraterone acetate",2023-04-19,"No"
"nirmatrelvir;ritonavir",2022-01-28,"No"
"nirogacestat",2025-08-14,"Yes"
"nirsevimab",2022-10-31,"No"
"nitisinone",2005-02-21,"No"
"nitric oxide",2001-08-01,"No"
"nivolumab",2015-06-19,"No"
"nogapendekin alfa inbakicept",2026-02-16,"No"
"nomegestrol;estradiol",2011-07-26,"No"
"nonacog alfa",1997-08-27,"No"
"nonacog beta pegol",2017-06-02,"No"
"nonacog gamma",2014-12-19,"No"
"norelgestromin;ethinyl estradiol",2002-08-22,"No"
"nusinersen",2017-05-30,"Yes"
"obecabtagene autoleucel",2025-07-17,"No"
"obinutuzumab",2014-07-22,"No"
"ocrelizumab",2018-01-08,"No"
"octocog alfa",2004-03-02,"No"
"octreotide",2025-06-30,"No"
"odevixibat",2021-07-16,"Yes"
"odronextamab",2024-08-22,"Yes"
"oestrogens conjugated;bazedoxifene",2014-12-16,"No"
"ofatumumab",2021-03-26,"No"
"olanzapine",1996-09-27,"No"
"olaparib",2014-12-16,"No"
"olezarsen",2025-09-17,"Yes"
"olipudase alfa",2022-06-24,"Yes"
"olopatadine",2002-05-16,"No"
"omalizumab",2005-10-25,"No"
"omaveloxolone",2024-02-09,"Yes"
"onasemnogene abeparvovec",2020-05-18,"Yes"
"opicapone",2016-06-24,"No"
"oritavancin",2015-03-19,"No"
"orlistat",1998-07-29,"No"
"oseltamivir",2002-06-20,"No"
"osilodrostat",2020-01-09,"Yes"
"osimertinib",2016-02-01,"No"
"ospemifene",2015-01-14,"No"
"oxybutynin",2004-06-15,"No"
"ozanimod",2020-05-20,"No"
"paclitaxel",2008-01-11,"No"
"padeliporfin",2017-11-10,"No"
"palbociclib",2016-11-09,"No"
"paliperidone",2007-06-24,"No"
"palivizumab",1999-08-13,"No"
"palonosetron",2005-03-22,"No"
"palopegteriparatide",2023-11-17,"Yes"
"paltusotine",2026-04-23,"Yes"
"pandemic influenza vaccine (h5n1) (live attenuated, nasal)",2016-05-20,"No"
"pandemic influenza vaccine (h5n1) (split virion, inactivated, adjuvanted)",2009-10-10,"No"
"pandemic influenza vaccine (h5n1) (surface antigen, inactivated, adjuvanted)",2009-10-18,"No"
"pandemic influenza vaccine (h5n1) (surface antigen, inactivated, adjuvanted, prepared in cell cultures)",2024-04-19,"No"
"panitumumab",2007-12-03,"No"
"panobinostat",2015-08-28,"No"
"pantoprazole",2009-06-11,"No"
"parathyroid hormone",2017-04-24,"Yes"
"parecoxib",2002-03-22,"No"
"pasireotide",2012-04-24,"No"
"patiromer",2017-07-19,"No"
"patisiran",2018-08-27,"Yes"
"pazopanib",2010-06-14,"No"
"pegaspargase",2016-01-14,"No"
"pegcetacoplan",2021-12-13,"Yes"
"pegfilgrastim",2002-08-22,"No"
"peginterferon alfa-2a",2002-06-20,"No"
"peginterferon beta-1a",2014-07-18,"No"
"pegunigalsidase alfa",2023-05-04,"No"
"pegvaliase",2019-05-03,"Yes"
"pegvisomant",2002-11-12,"No"
"pegzilarginase",2023-12-15,"Yes"
"pembrolizumab",2015-07-17,"No"
"pemetrexed",2004-09-20,"No"
"pemigatinib",2021-03-26,"Yes"
"pentosan polysulfate sodium",2017-06-02,"No"
"perampanel",2012-07-23,"No"
"perflutren",1998-05-17,"No"
"pertussis vaccine (recombinant, acellular, component, adsorbed)",2026-01-09,"No"
"pertuzumab",2013-03-04,"No"
"pertuzumab;trastuzumab",2020-12-21,"No"
"phenylephrine;ketorolac",2015-07-28,"No"
"piflufolastat (18f)",2023-11-27,"No"
"pioglitazone",2000-10-13,"No"
"pioglitazone;glimepiride",2007-01-08,"No"
"pioglitazone;metformin",2006-07-28,"No"
"piperaquine tetraphosphate;artenimol",2011-10-27,"No"
"pirfenidone",2011-02-28,"No"
"pirtobrutinib",2023-10-30,"No"
"pitolisant",2016-03-31,"Yes"
"plerixafor",2009-07-30,"No"
"pneumococcal polysaccharide conjugate vaccine (13-valent, adsorbed)",2009-12-09,"No"
"pneumococcal polysaccharide conjugate vaccine (20-valent, adsorbed)",2022-02-14,"No"
"pneumococcal polysaccharide conjugate vaccine (21-valent)",2025-03-24,"No"
"pneumococcal polysaccharide conjugate vaccine (adsorbed)",2009-03-29,"No"
"polatuzumab vedotin",2020-01-16,"Yes"
"polihexanide",2024-08-22,"Yes"
"pomalidomide",2013-08-05,"No"
"ponatinib",2013-07-01,"No"
"ponesimod",2021-05-19,"No"
"posaconazole",2005-10-25,"No"
"potassium citrate;potassium hydrogen carbonate",2021-04-30,"No"
"pramipexole",1997-10-13,"No"
"prasterone",2018-01-08,"No"
"prasugrel",2009-02-24,"No"
"pregabalin",2004-07-05,"No"
"pretomanid",2020-07-31,"Yes"
"propranolol",2014-04-23,"No"
"prucalopride",2009-10-14,"No"
"quadrivalent influenza vaccine (recombinant, prepared in cell culture)",2020-11-16,"No"
"quizartinib",2023-11-06,"No"
"radamts13",2024-08-01,"Yes"
"radium ra223 dichloride",2013-11-13,"No"
"raloxifene",1998-08-05,"No"
"raltegravir",2007-12-19,"No"
"ramucirumab",2014-12-19,"No"
"ranibizumab",2007-01-22,"No"
"ranolazine",2008-07-08,"No"
"rasagiline",2005-02-21,"No"
"rasburicase",2001-02-23,"No"
"ravulizumab",2019-07-02,"No"
"regadenoson",2010-09-06,"No"
"regorafenib",2013-08-26,"No"
"relatlimab;nivolumab",2022-09-15,"No"
"relugolix",2022-04-29,"No"
"relugolix;estradiol;norethisterone acetate",2021-07-16,"No"
"remdesivir",2020-07-03,"No"
"remibrutinib",2026-04-23,"No"
"remimazolam",2021-03-26,"No"
"repaglinide",1998-08-16,"No"
"repotrectinib",2025-01-13,"No"
"reslizumab",2016-08-15,"No"
"resmetirom",2025-08-18,"No"
"respiratory syncytial virus (rsv) vaccine (recombinant, adjuvanted)",2023-06-06,"No"
"respiratory syncytial virus mrna vaccine",2024-08-22,"No"
"respiratory syncytial virus vaccine (bivalent, recombinant)",2023-08-23,"No"
"retifanlimab",2024-04-19,"Yes"
"rezafungin",2023-12-22,"Yes"
"ribociclib",2017-08-22,"No"
"rilpivirine",2011-11-28,"No"
"riluzole",1996-06-10,"No"
"rilzabrutinib",2025-12-22,"Yes"
"rimegepant",2022-04-25,"No"
"riociguat",2014-03-27,"No"
"ripretinib",2021-11-18,"Yes"
"risankizumab",2019-04-26,"No"
"risdiplam",2021-03-26,"No"
"risperidone",2022-02-14,"No"
"ritlecitinib",2023-09-15,"No"
"ritonavir",1996-08-25,"No"
"rituximab",1998-06-02,"No"
"rivaroxaban",2008-09-30,"No"
"rivastigmine",1998-05-11,"No"
"roflumilast",2010-07-05,"No"
"romiplostim",2009-02-04,"No"
"romosozumab",2019-12-09,"No"
"ropeginterferon alfa-2b",2019-02-15,"No"
"rotavirus vaccine, live",2006-02-21,"No"
"rotigotine",2006-02-15,"No"
"roxadustat",2021-08-18,"No"
"rozanolixizumab",2024-01-05,"Yes"
"rucaparib",2018-05-23,"No"
"rufinamide",2007-01-16,"No"
"rurioctocog alfa pegol",2018-01-08,"No"
"ruxolitinib",2012-08-23,"No"
"sacituzumab govitecan",2021-11-22,"No"
"sacubitril;valsartan",2015-11-19,"No"
"safinamide",2015-02-23,"No"
"salmeterol;fluticasone propionate",2021-03-26,"No"
"samarium [153sm] lexidronam pentasodium",1998-02-04,"No"
"sapropterin",2008-12-02,"No"
"sargramostim",2025-08-21,"No"
"sarilumab",2017-06-23,"No"
"satralizumab",2021-06-24,"Yes"
"saxagliptin",2009-09-30,"No"
"saxagliptin;dapagliflozin",2016-07-15,"No"
"saxagliptin;metformin hydrochloride",2011-11-24,"No"
"sebelipase alfa",2015-08-28,"Yes"
"sebetralstat",2025-09-17,"Yes"
"secukinumab",2015-01-14,"No"
"selexipag",2016-05-12,"No"
"selinexor",2021-03-26,"No"
"selpercatinib",2021-02-11,"No"
"selumetinib",2021-06-17,"Yes"
"semaglutide",2018-02-08,"No"
"sepiapterin",2025-06-19,"Yes"
"serplulimab",2025-02-03,"No"
"setmelanotide",2021-07-16,"Yes"
"sevelamer",2000-01-28,"No"
"sevelamer carbonate",2009-06-09,"No"
"sildenafil",1998-09-13,"No"
"silodosin",2010-01-29,"No"
"siltuximab",2014-05-22,"No"
"simoctocog alfa",2014-07-22,"No"
"sipavibart",2025-01-20,"No"
"siponimod",2020-01-13,"No"
"sirolimus",2001-03-13,"No"
"sitagliptin",2007-03-20,"No"
"sitagliptin fumarate",2021-12-09,"No"
"sitagliptin hydrochloride monohydrate;metformin hydrochloride",2022-02-16,"No"
"sitagliptin;metformin",2008-07-15,"No"
"sitagliptin;metformin hydrochloride",2010-03-15,"No"
"smallpox and monkeypox vaccine (live modified vaccinia virus ankara)",2013-07-31,"No"
"sodium oxybate",2005-10-13,"No"
"sodium phenylbutyrate",1999-12-07,"No"
"sodium thiosulfate",2023-05-26,"No"
"sodium zirconium cyclosilicate",2018-03-22,"No"
"sofosbuvir",2014-01-16,"No"
"sofosbuvir;velpatasvir",2016-07-06,"No"
"sofosbuvir;velpatasvir;voxilaprevi",2017-07-26,"No"
"solriamfetol",2020-01-16,"No"
"somapacitan",2021-03-31,"Yes"
"somatrogon",2022-02-14,"Yes"
"somatropin",2001-02-15,"No"
"sonidegib",2015-08-14,"No"
"sorafenib",2006-07-19,"No"
"sotatercept",2024-08-22,"Yes"
"sotorasib",2022-01-06,"No"
"sparsentan",2024-04-19,"Yes"
"spesolimab",2022-12-09,"No"
"spheroids of human autologous matrix-associated chondrocytes",2017-07-10,"No"
"spironolactone",2023-05-26,"No"
"stiripentol",2007-01-03,"No"
"sucroferric oxyhydroxide",2014-08-26,"No"
"sufentanil",2018-06-25,"No"
"sugammadex",2008-07-25,"No"
"sugemalimab",2024-07-24,"No"
"sulphur hexafluoride",2001-03-26,"No"
"sunitinib",2006-07-19,"No"
"susoctocog alfa",2015-11-11,"No"
"sutimlimab",2022-11-15,"Yes"
"tabelecleucel",2022-12-16,"Yes"
"tacrolimus",2002-02-27,"No"
"tadalafil",2002-11-12,"No"
"tafamidis",2011-11-16,"Yes"
"tafasitamab",2021-08-26,"Yes"
"tagraxofusp",2021-01-07,"Yes"
"talazoparib",2019-06-20,"No"
"talimogene laherparepvec",2015-12-16,"No"
"talquetamab",2023-08-21,"Yes"
"tarlatamab",2026-05-29,"Yes"
"tasimelteon",2015-07-03,"No"
"tasonermin",1999-04-12,"No"
"tebentafusp",2022-04-01,"Yes"
"teclistamab",2022-08-23,"No"
"tecovirimat monohydrate",2022-01-06,"No"
"tedizolid phosphate",2015-03-23,"No"
"teduglutide",2012-08-30,"No"
"tegafur;gimeracil;oteracil",2011-03-14,"No"
"tegomil fumarate",2025-07-28,"No"
"telmisartan",1998-12-11,"No"
"telmisartan;amlodipine",2010-10-07,"No"
"telmisartan;hydrochlorothiazide",2002-04-19,"No"
"telotristat ethyl",2017-09-17,"Yes"
"temoporfin",2001-10-24,"No"
"temozolomide",1999-01-26,"No"
"temsirolimus",2007-11-19,"No"
"tenecteplase",2001-02-23,"No"
"tenofovir alafenamide",2017-01-09,"No"
"tenofovir disoproxil",2002-02-04,"No"
"teplizumab",2026-01-08,"No"
"tepotinib",2022-02-16,"No"
"teprotumumab",2025-06-19,"No"
"teriflunomide",2013-08-26,"No"
"teriparatide",2003-06-10,"No"
"tezacaftor;ivacaftor",2018-10-31,"Yes"
"tezepelumab",2022-09-19,"No"
"thalidomide",2008-04-16,"No"
"thiotepa",2010-03-15,"No"
"thyrotropin alfa",2000-03-09,"No"
"ticagrelor",2010-12-03,"No"
"tigecycline",2006-04-24,"No"
"tildrakizumab",2018-09-17,"No"
"tipranavir",2005-10-25,"No"
"tiratricol",2025-02-12,"Yes"
"tirbanibulin",2021-07-16,"No"
"tirzepatide",2022-09-15,"No"
"tisagenlecleucel",2018-08-23,"Yes"
"tislelizumab",2023-09-15,"No"
"tisotumab vedotin",2025-03-28,"No"
"tivozanib hydrochloride monohydrate",2017-08-24,"No"
"tobramycin",2011-07-20,"No"
"tocilizumab",2009-01-16,"No"
"tocofersolan",2009-07-23,"No"
"tofacitinib",2017-03-22,"No"
"tofersen",2024-05-29,"Yes"
"tolcapone",1997-08-27,"No"
"tolebrutinib",2026-06-19,"No"
"tolvaptan",2009-08-02,"No"
"topotecan",1996-11-12,"No"
"toremifene",1996-02-14,"No"
"toripalimab",2024-09-19,"No"
"tovorafenib",2026-04-20,"Yes"
"trabectedin",2007-09-17,"No"
"tralokinumab",2021-06-17,"No"
"trametinib",2014-06-30,"No"
"trastuzumab",2000-08-28,"No"
"trastuzumab deruxtecan",2021-01-18,"No"
"trastuzumab emtansine",2013-11-15,"No"
"travoprost",2001-11-27,"No"
"travoprost;timolol",2006-04-23,"No"
"tremelimumab",2023-02-20,"No"
"treosulfan",2019-06-20,"No"
"treprostinil",2020-04-03,"Yes"
"trientine",2017-09-05,"No"
"trientine dihydrochloride",2019-07-25,"No"
"trifluridine;tipiracil",2016-04-25,"No"
"trivalent influenza vaccine (recombinant, prepared in cell culture)",2026-03-30,"No"
"tucatinib",2021-02-11,"No"
"turoctocog alfa",2013-11-13,"No"
"turoctocog alfa pegol",2019-06-20,"No"
"ublituximab",2023-05-31,"No"
"ulipristal acetate",2009-05-15,"No"
"umeclidinium",2017-03-20,"No"
"umeclidinium bromide",2014-04-28,"No"
"umeclidinium bromide;vilanterol",2014-05-08,"No"
"upadacitinib",2019-12-16,"No"
"ustekinumab",2009-01-16,"No"
"vadadustat",2023-04-24,"No"
"valoctocogene roxaparvovec",2022-08-24,"Yes"
"vamorolone",2023-12-14,"Yes"
"vandetanib",2012-02-16,"No"
"vardenafil",2003-03-06,"No"
"varenicline",2006-09-25,"No"
"vedolizumab",2014-05-22,"No"
"velaglucerase alfa",2010-08-26,"No"
"velmanase alfa",2018-03-23,"Yes"
"vemurafenib",2012-02-17,"No"
"venetoclax",2016-12-04,"No"
"vericiguat",2021-07-16,"No"
"vernakalant hydrochloride",2010-09-01,"No"
"verteporfin",2000-07-27,"No"
"vestronidase alfa",2018-08-23,"Yes"
"vibegron",2024-06-27,"No"
"vigabatrin",2018-09-20,"No"
"vildagliptin",2007-09-25,"No"
"vildagliptin;metformin",2007-11-14,"No"
"vildagliptin;metformin hydrochloride",2022-03-24,"No"
"vilobelimab",2025-01-13,"No"
"vimseltinib",2025-09-17,"Yes"
"vinflunine",2009-09-21,"No"
"vismodegib",2013-07-12,"No"
"voclosporin",2022-09-15,"No"
"volanesorsen",2019-05-03,"Yes"
"vonicog alfa",2018-08-31,"No"
"vorasidenib",2025-09-17,"Yes"
"voretigene neparvovec",2018-11-22,"Yes"
"voriconazole",2002-03-19,"No"
"vortioxetine",2013-12-18,"No"
"vosoritide",2021-08-26,"Yes"
"vutrisiran",2022-09-15,"Yes"
"vysribli",2025-11-17,"No"
"yttrium [90y] chloride",2006-01-19,"No"
"zanamivir",2019-04-26,"No"
"zanidatamab",2025-06-27,"Yes"
"zanubrutinib",2021-11-22,"No"
"zapomeran",2025-02-12,"No"
"ziconotide",2005-02-21,"No"
"zilucoplan",2023-12-01,"No"
"zinc",2004-10-12,"No"
"zolbetuximab",2024-09-19,"Yes"
"zoledronic acid",2001-03-20,"No"
"zonisamide",2005-03-10,"No"
"zoonotic influenza vaccine (h5n1) (surface antigen, inactivated, adjuvanted)",2010-11-28,"No"
"zoonotic influenza vaccine (h5n1) (surface antigen, inactivated, adjuvanted, prepared in cell cultures)",2024-04-19,"No"
"zoonotic influenza vaccine (h5n8) (surface antigen, inactivated, adjuvanted)",2023-10-09,"No"
"maralixibat",2022-12-09,"Yes"
"lumacaftor/ivacaftor",2015-11-19,"Yes"
"elexacaftor/tezacaftor/ivacaftor",2020-08-21,"Yes"
"betibeglogene autotemcel",2019-08-29,"Yes"
"atidarsagene autotemcel",2020-12-16,"Yes"
"elivaldogene autotemcel",2021-07-26,"Yes"
"fidanacogene elaparvovec",2024-09-19,"Yes"
"ataluren",2014-07-31,"Yes"
